"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-t70d11xn_250",250,"best","exchange","random",7.003113,14677546,12,3.48204646748685
"N-t70d11xn_250",250,"best","transpose","CW",0.049532,12495909,10,17.828255199574
"N-t70d11xn_250",250,"best","transpose","random",0.049467,10647818,10,29.981101544723
"N-t70d11xn_250",250,"best","insert","CW",12.41414,14921564,12,1.87741051641596
"N-t70d11xn_250",250,"best","insert","random",15.00515,14884758,15,2.11944278786772
"N-t70d11xx_150",150,"best","exchange","CW",0.705118,5955320,11,3.54473097471437
"N-t70d11xx_150",150,"best","exchange","random",0.704536,5906039,11,4.34291010074539
"N-t70d11xx_150",150,"best","transpose","CW",0.007263,4978394,8,19.3675012285036
"N-t70d11xx_150",150,"best","transpose","random",0.008971,4283429,8,30.6234935241582
"N-t70d11xx_150",150,"best","insert","CW",1.12682,6048307,9,2.03866814335447
"N-t70d11xx_150",150,"best","insert","random",1.601937,6014249,12,2.59028813228255
"N-t70d11xx_250",250,"best","exchange","CW",6.401211,15543955,11,3.09601763627661
"N-t70d11xx_250",250,"best","exchange","random",6.576937,15452331,12,3.66721914066167
"N-t70d11xx_250",250,"best","transpose","CW",0.038754,13084902,8,18.4262234007337
"N-t70d11xx_250",250,"best","transpose","random",0.057536,11072864,12,30.9696523328903
"N-t70d11xx_250",250,"best","insert","CW",19.890339,15709771,18,2.06228904277366
"N-t70d11xx_250",250,"best","insert","random",15.665093,15710633,14,2.05691517024266
"N-t70f11xx_150",150,"best","exchange","CW",0.744234,4947991,11,3.92431443524268
"N-t70f11xx_150",150,"best","exchange","random",0.690344,4973137,10,3.43605178698576
"N-t70f11xx_150",150,"best","transpose","CW",0.00432,4089072,5,20.6020391460588
"N-t70f11xx_150",150,"best","transpose","random",0.007871,3241715,6,37.0552632309644
"N-t70f11xx_150",150,"best","insert","CW",1.648429,5032739,12,2.27875319629902
"N-t70f11xx_150",150,"best","insert","random",1.600843,5032488,12,2.28362689091099
"N-t70f11xx_250",250,"best","exchange","CW",9.437136,13181294,18,2.97980993122768
"N-t70f11xx_250",250,"best","exchange","random",6.413482,12998333,12,4.32648431654772
"N-t70f11xx_250",250,"best","transpose","CW",0.035556,11115805,7,18.1827282004779
"N-t70f11xx_250",250,"best","transpose","random",0.042023,9423977,8,30.6353352149084
"N-t70f11xx_250",250,"best","insert","CW",14.811425,13350655,15,1.73323759847815
"N-t70f11xx_250",250,"best","insert","random",18.585005,13218998,18,2.70229171136604
"N-t70l11xx_150",150,"best","exchange","CW",0.780738,416340,12,4.69759329032967
"N-t70l11xx_150",150,"best","exchange","random",0.849098,416386,12,4.68706364939043
